URI,dcdtr:elementName,skos:prefLabel,dct:description,dcdtr:meaning,dcdtr:containerObject,dcdtr:dataType,dcdtr:valueDomain,dcdtr:unitOfMeasure,source
class/attribute/producinginterval,ProducingInterval,Producing Interval,Name of producing interval or intervals in well; separate multiple interval names by  |  character.,,,def/primitive-type/string,class/value-domain/narrative-text,,
class/attribute/producinginterval,ProducingInterval,Producing Interval ,Name of producing interval or intervals in well; separate multiple interval names by pipe  |  character.,,,def/primitive-type/string,class/value-domain/narrative-text,,
class/attribute/production,Production,Production status,"Term indicating the production results of the borehole, at the time indicated in the StatusDate element.",,,def/primitive-type/term,class/value-domain/controlled-vocabulary,,
class/attribute/productionreportdate,ProductionReportDate,Production Report Date,"Date for monthly production value. Day, month and year must be specified; ",,,def/primitive-type/date-time,class/value-domain/calendar-date,,
class/attribute/publicationsource,PublicationSource,Publication Source,"Most recent source of the Heat Flow Value, e.g., journal, book, report, internet site, etc. Consists of 2 parts: Primary Author last name, Year Published; if available include the Publication Unique ID. If unpublished, include owner/location of data (e.g., unpublished SMU 2011).",,,def/primitive-type/string,class/value-domain/narrative-text,,
class/attribute/qualifier,qualifier,qualifier,,,,def/primitive-type/string,class/value-domain/narrative-text,,
class/attribute/radioactivitymeasurementdevice,RadioactivityMeasurementDevice,Radioactivity Measurement Device,"Type of analysis/tool used on sample for the measurement: e.g. Gamma Ray Spectrometer-hand held, Gamma Ray Spectrometer - Laboratory, FUS-ICP, FUS-MS, other. If -other-, provide additional information in the MeasurementProcedure. Include device model number if available.",,,def/primitive-type/string,class/value-domain/narrative-text,,
class/attribute/range,Range,Range,"Range in PLSS grid, relative to reported meridian. Formatting and punctuation should be consistent for all locations referenced to the same baseline meridian. See instructions on TWP field.",,class/data-object/us-cadastral-location,def/primitive-type/string,class/value-domain/integer-and-half-integer,,
class/attribute/rank,Rank,Rank,"Term may use formal stratigraphic rank terms (member, formation, group, bed) or informal rank terms.",,,def/primitive-type/term,class/value-domain/controlled-vocabulary,,
class/attribute/rechargeprocedure1,RechargeProcedure1,Recharge Procedure 1,Text description of measurement procedure and methods used to calculate corrections using Method 1. (See Notes tab). ,,,def/primitive-type/string,class/value-domain/narrative-text,,
class/attribute/rechargeprocedure2,RechargeProcedure2,Recharge Procedure 2,Text description of measurement procedure and methods used to calculate corrections using Method 2. (See Notes tab).,,,def/primitive-type/string,class/value-domain/narrative-text,,
class/attribute/recordname,RecordName,Record Name,Common or human-readable name for the record. Recommend using only web-safe characters (a-z A-Z 0-9 _-.) in the name. Be consistent in the naming convention used within any given dataset.,,,def/primitive-type/string,class/value-domain/name-string,,
class/attribute/recurrenceinterval,RecurrenceInterval,Recurrence Interval,Estimated average time in thousands of years between slip events on fault.,,,def/primitive-type/string,class/value-domain/narrative-text,,
class/attribute/registrant,Registrant,Registrant,"Free text specification of party that originally registered sample; may be name or organization, with or without contact information.",,,def/primitive-type/string,class/value-domain/narrative-text,,
class/attribute/registranturi,RegistrantURI,Registrant URI,Identifier for the party that originally registered the sample to create sampleURI.,,,def/primitive-type/uri,class/value-domain/http-uri,,
class/attribute/relatedfault,RelatedFault,Related Fault,"Name of fault associated with seismic event, if known.  This association does not denote that the earthquake occurred on a particular fault surface. It is meant to provide a means of locating events that may be related to a particular structure.  Comment on confidence or basis of relation to a fault in the Notes field.",,,def/primitive-type/string,class/value-domain/narrative-text,,
class/attribute/relatedfaulturi,RelatedFaultURI,Related Fault URI,Identifier for related fault. Ideally an http URI that will derference to provide information about the fault.,,,def/primitive-type/uri,class/value-domain/http-uri,,
class/attribute/relatedfeature,RelatedFeature,Related Feature,Names of geographic features associated with the site that will be useful as search criteria to locate the information for this site. Separate multiple keywords with the pipe  |  character.,,,def/primitive-type/string,class/value-domain/narrative-text,,
class/attribute/relatedheatflowintervalsuri,RelatedHeatFlowIntervalsURI,Related Heat Flow Intervals URI,"If Heat Flow value is based on multiple intervals, observationURIs are listed here. Unique identifier for this observation. This is the identifier (Uniform Resource Identifier) that will be used to cross-reference data, samples, and other observations to the observation represented by this record. Best practice is to define an http URI that will dereference to a normative description of the observation. USGIN URIs may be redirected to any URL using the http://resources.usgin.org redirector; contact the USGIN development team at AZGS for instructions.  ",,,def/primitive-type/uri,class/value-domain/http-uri,,
class/attribute/relatedresource,RelatedResource,Related Resource,"This may be one to many http links to resources (logs, pictures or other documents if available online. Should be an http:// address (URL)) related to the observation described in each record. Delimit multiple values with the pipe  |  character.",,,def/primitive-type/string,,,
class/attribute/relatedresources,RelatedResources,Related Resources,"This may be one to many http links to resources (logs, pictures or other documents if available online. Should be an http:// address (URL)) related to the observation described in each record. Delimit multiple values with the pipe character  | .",,,def/primitive-type/string,literal,,
class/attribute/relatedsampleuri,RelatedSampleURI,Related Sample URI,"If the thermal conductivity value is based on an average of several samples, multiple observationURIs are listed here, delimited by pipe  |  characters. Recommend use of http URI that will dereference to give representation of sample.",,,def/primitive-type/uri,class/value-domain/http-uri,,
class/attribute/relatedwaterchemistry,RelatedWaterChemistry,Related Water Chemistry,None if no chemical data available; string listing available constituents or analysis types if analyses are available.,,,def/primitive-type/string,,,
class/attribute/releasedate,ReleaseDate,Release Date,"Date on which data for the borehole was or will be made public. Day, month and year must be specified; If only the year is known, enter month and day as Jan. 1. If year is unknown, enter 1900. This is intended as a searching aid.",,,def/primitive-type/date-time,class/value-domain/calendar-date,,
class/attribute/remarks,Remarks,Remarks,"Any additional information to be provided, including description and other data not captured by the template, details about collection method, contact information for related parties (original collector, project PI), collection platform or Launch, etc.",,,def/primitive-type/string,,,
class/attribute/reportingperiod,ReportingPeriod,Reporting Period,"Time interval of reporting period: year, month, week or day.",,,def/primitive-type/string,,,
class/attribute/reportyear,ReportYear,Report Year,"Production year of data reported, formatted -YYYY-.",,,def/primitive-type/string,,,
